Date,Year,Month,Day,Max Temp (°C),Min Temp (°C),Mean Temp (°C),Total Precip (mm),Spd of Max Gust (km/h)
2019-01-01,2019,1,1,6.1,-6.7,-0.3,0.4,55
2019-01-02,2019,1,2,0.4,-7.9,-3.8,2.1,
2019-01-03,2019,1,3,1.8,-0.4,0.7,0,48
2019-01-04,2019,1,4,6.6,1.5,4.1,0,41
2019-01-05,2019,1,5,3.6,1.2,2.4,0,39
2019-01-06,2019,1,6,5,-6.7,-0.9,0,52
2019-01-07,2019,1,7,5.2,-7.2,-1,2.7,63
2019-01-08,2019,1,8,8.7,3.4,6.1,3.8,41
2019-01-09,2019,1,9,3.4,-3.3,0.1,0.2,67
2019-01-10,2019,1,10,-3.3,-9.9,-6.6,0,61
2019-01-11,2019,1,11,-6.3,-12,-9.2,0,54
2019-01-12,2019,1,12,-4.4,-6.6,-5.5,0,37
2019-01-13,2019,1,13,-5.4,-9.6,-7.5,0,42
2019-01-14,2019,1,14,-1.6,-5.9,-3.8,0,32
2019-01-15,2019,1,15,0.6,-2.9,-1.2,0,63
2019-01-16,2019,1,16,0.5,-9.5,-4.5,0,71
2019-01-17,2019,1,17,-1.8,-11.3,-6.6,0,
2019-01-18,2019,1,18,0.8,-8.3,-3.8,0.5,45
2019-01-19,2019,1,19,-8.3,-15,-11.7,1.4,39
2019-01-20,2019,1,20,-13.6,-21,-17.3,0,59
2019-01-21,2019,1,21,-10.6,-21,-15.8,0,52
2019-01-22,2019,1,22,1.3,-16.5,-7.6,0,52
2019-01-23,2019,1,23,4.3,0.2,2.3,9.8,45
2019-01-24,2019,1,24,3.8,-2.2,0.8,4.2,48
2019-01-25,2019,1,25,-1.8,-10,-5.9,0,72
2019-01-26,2019,1,26,-4,-11.7,-7.9,0,48
2019-01-27,2019,1,27,-2,-12.4,-7.2,2.7,65
2019-01-28,2019,1,28,-1.9,-17.6,-9.8,,74
2019-01-29,2019,1,29,1.4,-13.3,-6,,76
2019-01-30,2019,1,30,-13,-20.1,-16.6,,78
2019-01-31,2019,1,31,-12.8,-20.2,-16.5,,67
2019-02-01,2019,2,1,-9.4,-17.1,-13.3,,35
2019-02-02,2019,2,2,1.6,-12.7,-5.6,,48
2019-02-03,2019,2,3,5.3,-0.1,2.6,,
2019-02-04,2019,2,4,10.5,3,6.8,,35
2019-02-05,2019,2,5,8.6,-5.1,1.8,0.2,61
2019-02-06,2019,2,6,-0.3,-5.1,-2.7,7.5,67
2019-02-07,2019,2,7,3.4,-2.3,0.6,0.2,54
2019-02-08,2019,2,8,4.7,-8.6,-2,0,84
2019-02-09,2019,2,9,-2.7,-8.4,-5.6,0,61
2019-02-10,2019,2,10,-3.2,-7.6,-5.4,0,
2019-02-11,2019,2,11,-3.1,-5,-4.1,0,63
2019-02-12,2019,2,12,1.9,-5.7,-1.9,17.5,84
2019-02-13,2019,2,13,1.8,-4.1,-1.2,0,72
2019-02-14,2019,2,14,2.4,-3.4,-0.5,0,55
2019-02-15,2019,2,15,3.3,-3,0.2,1,71
2019-02-16,2019,2,16,-2,-6.9,-4.5,0,52
2019-02-17,2019,2,17,-5,-9.1,-7.1,0,48
2019-02-18,2019,2,18,-4.2,-11,-7.6,0.6,41
