Longitude (x),Latitude (y),Station Name,Date,Year,Month,Day,Max Temp (°C),Min Temp (°C),Mean Temp (°C),Heat Deg Days (°C),Cool Deg Days (°C),Total Rain (mm),Total Snow (cm),Total Precip (mm),Snow on Grnd (cm),Dir of Max Gust (10s deg),Spd of Max Gust (km/h)
-79.4,43.63,TORONTO CITY CENTRE,2019-01-01,2019,1,1,6.1,-6.7,-0.3,18.3,0.0,,,0.4,,29.0,55.0
-79.4,43.63,TORONTO CITY CENTRE,2019-01-02,2019,1,2,0.4,-7.9,-3.8,21.8,0.0,,,2.1,,,
-79.4,43.63,TORONTO CITY CENTRE,2019-01-03,2019,1,3,1.8,-0.4,0.7,17.3,0.0,,,0.0,,24.0,48.0
-79.4,43.63,TORONTO CITY CENTRE,2019-01-04,2019,1,4,6.6,1.5,4.1,13.9,0.0,,,0.0,,24.0,41.0
-79.4,43.63,TORONTO CITY CENTRE,2019-01-05,2019,1,5,3.6,1.2,2.4,15.6,0.0,,,0.0,,23.0,39.0
-79.4,43.63,TORONTO CITY CENTRE,2019-01-06,2019,1,6,5.0,-6.7,-0.9,18.9,0.0,,,0.0,,32.0,52.0
-79.4,43.63,TORONTO CITY CENTRE,2019-01-07,2019,1,7,5.2,-7.2,-1.0,19.0,0.0,,,2.7,,8.0,63.0
-79.4,43.63,TORONTO CITY CENTRE,2019-01-08,2019,1,8,8.7,3.4,6.1,11.9,0.0,,,3.8,,22.0,41.0
-79.4,43.63,TORONTO CITY CENTRE,2019-01-09,2019,1,9,3.4,-3.3,0.1,17.9,0.0,,,0.2,,28.0,67.0
-79.4,43.63,TORONTO CITY CENTRE,2019-01-10,2019,1,10,-3.3,-9.9,-6.6,24.6,0.0,,,0.0,,31.0,61.0
-79.4,43.63,TORONTO CITY CENTRE,2019-01-11,2019,1,11,-6.3,-12.0,-9.2,27.2,0.0,,,0.0,,32.0,54.0
-79.4,43.63,TORONTO CITY CENTRE,2019-01-12,2019,1,12,-4.4,-6.6,-5.5,23.5,0.0,,,0.0,,1.0,37.0
